step,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
54000,24,50,0.48,0.3479691239550571,0.6148848774119157,735.4276971817017
58000,33,50,0.66,0.5215356854148285,0.7756323036493895,654.3673229217529
62000,38,50,0.76,0.6258705062480763,0.8570274759812779,661.0381779670715
66000,37,50,0.74,0.6044657801100008,0.8412862034863262,666.1328461170197
70000,41,50,0.82,0.6920368054529739,0.902299172675462,629.7237112522125
74000,39,50,0.78,0.6475818431054045,0.8724621377569771,605.7298412322998
78000,43,50,0.86,0.738135428014719,0.9304925473797714,578.5444118976593
80000,37,50,0.74,0.6044657801100008,0.8412862034863262,639.6696770191193
