step,action_mse,mmd,mse_h0,mse_h1,mse_h2,mse_h3,mse_h4,mse_h5,mse_h6,mse_h7,elapsed_sec
5000,0.09736096858978271,0.033062249422073364,0.0883781909942627,0.09109771251678467,0.09875382483005524,0.09340423345565796,0.10043761134147644,0.10276220738887787,0.10257306694984436,0.1014808714389801,95.53785181045532
10000,0.07876741141080856,0.020894169807434082,0.07207794487476349,0.07536531239748001,0.07891522347927094,0.08273237943649292,0.08133865892887115,0.07872007042169571,0.0783526748418808,0.08263702690601349,95.30317497253418
15000,0.06349566578865051,0.015127331018447876,0.05706127732992172,0.05617053806781769,0.059570811688899994,0.06471128016710281,0.07071392238140106,0.06820189207792282,0.06610562652349472,0.06542999297380447,95.11660099029541
20000,0.05723508819937706,0.00755232572555542,0.05507168173789978,0.053534600883722305,0.054431263357400894,0.05836644768714905,0.06258047372102737,0.06040005385875702,0.05456019192934036,0.05893599987030029,94.60262084007263
25000,0.05264238268136978,0.005570083856582642,0.054223619401454926,0.05389881879091263,0.049049392342567444,0.05089598894119263,0.05769016593694687,0.05437822639942169,0.05061960965394974,0.05038323625922203,95.12685585021973
30000,0.049893006682395935,0.004772812128067017,0.05166272073984146,0.05475616455078125,0.05359294265508652,0.04496326297521591,0.047946497797966,0.04558653384447098,0.051138944923877716,0.049497004598379135,95.28583478927612
35000,0.0512058362364769,0.009550124406814575,0.04803309589624405,0.04576127976179123,0.04707473888993263,0.04148435220122337,0.05913577973842621,0.05461873859167099,0.05959820747375488,0.05394051596522331,95.28407287597656
40000,0.05254516750574112,0.005324214696884155,0.04810115694999695,0.05175668001174927,0.04387207329273224,0.049226824194192886,0.060986608266830444,0.05926278978586197,0.0559210442006588,0.0512341633439064,95.62745904922485
45000,0.05313028395175934,0.005320489406585693,0.053159426897764206,0.054123714566230774,0.04596640169620514,0.04166838154196739,0.04829172417521477,0.0580596998333931,0.06582872569561005,0.05794423073530197,95.59229469299316
50000,0.04889841750264168,0.004541724920272827,0.04772040247917175,0.048835549503564835,0.04633791744709015,0.04508885741233826,0.056244611740112305,0.05200175940990448,0.05105006322264671,0.04390817880630493,97.77320599555969
55000,0.05240814387798309,0.0035443902015686035,0.051092565059661865,0.05486399307847023,0.05082093924283981,0.04673991724848747,0.06303785741329193,0.0556783489882946,0.05205025523900986,0.044981248676776886,96.29746890068054
60000,0.05400308966636658,0.004033178091049194,0.049742378294467926,0.05695679038763046,0.05043115094304085,0.04691000655293465,0.05488259345293045,0.057545844465494156,0.06383082270622253,0.051725126802921295,96.30584716796875
65000,0.057468120008707047,0.005160719156265259,0.05538115277886391,0.05385539308190346,0.05546979606151581,0.05299593135714531,0.06617705523967743,0.06211777776479721,0.06004448980093002,0.05370335280895233,115.00320100784302
70000,0.05744624882936478,0.005917102098464966,0.05030760169029236,0.05608388036489487,0.05341973900794983,0.05636140704154968,0.06983591616153717,0.06186874955892563,0.06048671156167984,0.05120600759983063,100.95221900939941
75000,0.05127961188554764,0.0038480162620544434,0.05194992572069168,0.049239516258239746,0.048732008785009384,0.04402022808790207,0.05753542482852936,0.053699977695941925,0.05597370117902756,0.049086082726716995,101.06697702407837
80000,0.05470960959792137,0.003678649663925171,0.05731300264596939,0.0601569339632988,0.05427081882953644,0.05111192166805267,0.06367769837379456,0.05632871389389038,0.0518462210893631,0.04297156259417534,109.63608002662659
85000,0.055076852440834045,0.0032355189323425293,0.05061021447181702,0.05692172050476074,0.052411049604415894,0.050002895295619965,0.0645657479763031,0.05652054399251938,0.05823893845081329,0.051343727856874466,107.43061995506287
90000,0.055601660162210464,0.0037372708320617676,0.04826933890581131,0.04919126257300377,0.048716675490140915,0.05060412734746933,0.06741167604923248,0.0655972957611084,0.06339650601148605,0.05162639543414116,75.8985550403595
95000,0.060803841799497604,0.005650341510772705,0.05331811308860779,0.05491291731595993,0.05482625588774681,0.05475836247205734,0.07083795964717865,0.06951537728309631,0.06610764563083649,0.06215409189462662,77.58176493644714
100000,0.06071540713310242,0.004324823617935181,0.06137131154537201,0.06099454686045647,0.05248669162392616,0.049463361501693726,0.07020783424377441,0.06600452214479446,0.06605450063943863,0.05914046987891197,81.2789421081543
105000,0.056706301867961884,0.00404590368270874,0.056242935359478,0.05995979532599449,0.05361543595790863,0.05199986696243286,0.06918470561504364,0.05374235659837723,0.05772911012172699,0.051176201552152634,75.9647753238678
110000,0.060917142778635025,0.0038169026374816895,0.05693398416042328,0.059929631650447845,0.06108784303069115,0.05513866990804672,0.07677461206912994,0.06014934927225113,0.059416621923446655,0.05790642648935318,67.95687079429626
115000,0.059084661304950714,0.0047235190868377686,0.058345235884189606,0.05353313311934471,0.050114020705223083,0.04659348726272583,0.07212256640195847,0.07265499234199524,0.06254778057336807,0.05676605552434921,67.21414518356323
120000,0.05719166621565819,0.004037320613861084,0.05175405740737915,0.053066059947013855,0.047176916152238846,0.04579389840364456,0.06573314964771271,0.0657007172703743,0.06573407351970673,0.06257447600364685,68.15243196487427
