step,action_mse,coverage,mmd,mse_h0,mse_h1,mse_h2,mse_h3,mse_h4,mse_h5,mse_h6,mse_h7,elapsed_sec
5000,0.0934508815407753,0.031510470900684595,0.036030255258083344,0.07835004478693008,0.0858452245593071,0.09197615087032318,0.09387104958295822,0.09632663428783417,0.10038601607084274,0.1008983924984932,0.0999535396695137,158.81182527542114
10000,0.06718555837869644,0.021614579018205404,0.01302482932806015,0.05529973283410072,0.05834498256444931,0.06114978343248367,0.06377015262842178,0.06981051713228226,0.073386050760746,0.07632005214691162,0.07940322160720825,160.35752487182617
15000,0.055453814566135406,0.018349859165027738,0.005786769092082977,0.046338003128767014,0.050000909715890884,0.05276503786444664,0.05479567497968674,0.05739758908748627,0.05949098616838455,0.062497828155756,0.06034447252750397,160.2958254814148
20000,0.05497196316719055,0.019590070703998208,0.005013108253479004,0.04571564123034477,0.04989061504602432,0.05311666056513786,0.05520358309149742,0.059558022767305374,0.05938242748379707,0.05943295732140541,0.05747576802968979,160.09981751441956
25000,0.06522270292043686,0.02367821871303022,0.013496346771717072,0.056509245187044144,0.061826251447200775,0.0651525929570198,0.06404699385166168,0.06761444360017776,0.07053472846746445,0.06977064907550812,0.06632667779922485,160.43808698654175
30000,0.050462692975997925,0.019496818305924535,0.005578383803367615,0.04460884630680084,0.04654669389128685,0.04968680813908577,0.05093328654766083,0.054383084177970886,0.05395229160785675,0.0526241697371006,0.050966378301382065,159.99037837982178
35000,0.04810948297381401,0.017154185101389885,0.005096957087516785,0.03937246650457382,0.04285662993788719,0.04581072926521301,0.047475289553403854,0.05175643414258957,0.052234724164009094,0.053145866841077805,0.05222374573349953,160.1969542503357
40000,0.046262502670288086,0.019241619971580803,0.00709833949804306,0.038018207997083664,0.04290579631924629,0.04514632001519203,0.04446578025817871,0.04922176152467728,0.05106357857584953,0.05126659944653511,0.04801199212670326,160.03141975402832
45000,0.045151542872190475,0.01746844919398427,0.0038327202200889587,0.03585449978709221,0.03960209712386131,0.043365925550460815,0.04478958994150162,0.05012626573443413,0.04947302117943764,0.05011124163866043,0.047889698296785355,158.04400396347046
50000,0.042831335216760635,0.016380132525227964,0.0036698803305625916,0.03703901171684265,0.04041147604584694,0.040314242243766785,0.04192684218287468,0.04715185984969139,0.04596428573131561,0.04627829045057297,0.04356464371085167,157.94207167625427
55000,0.048498403280973434,0.018387949792668223,0.007224515080451965,0.04308227822184563,0.046707481145858765,0.04623555392026901,0.04633254185318947,0.05197851359844208,0.05198359861969948,0.0524134635925293,0.04925379157066345,158.3083517551422
60000,0.04783392325043678,0.01892360544297844,0.004695512354373932,0.040107253938913345,0.04384223744273186,0.04507305473089218,0.047068748623132706,0.0537506565451622,0.052391860634088516,0.05220409855246544,0.048233479261398315,158.74861598014832
65000,0.04597175121307373,0.01782993576489389,0.0039596036076545715,0.03620769828557968,0.041499584913253784,0.044363833963871,0.04550818353891373,0.05183682590723038,0.05173155665397644,0.05010310560464859,0.046523258090019226,159.6738476753235
70000,0.045501310378313065,0.01832784991711378,0.005750551819801331,0.03683120757341385,0.04246809706091881,0.04416140913963318,0.04427402466535568,0.0517830066382885,0.050511255860328674,0.05043639615178108,0.04354507476091385,159.03114938735962
75000,0.04482788220047951,0.018644851981662214,0.003537014126777649,0.035805415362119675,0.04148721322417259,0.044603895395994186,0.044262152165174484,0.04904690384864807,0.049989163875579834,0.04927242547273636,0.044155895709991455,158.9222047328949
80000,0.044937752187252045,0.01896228385157883,0.003575645387172699,0.035105541348457336,0.04075903818011284,0.04301682487130165,0.044721901416778564,0.05211913213133812,0.05125945806503296,0.04890147224068642,0.04361864551901817,158.07654857635498
85000,0.047633618116378784,0.017956736613996327,0.005498118698596954,0.03802301362156868,0.043834079056978226,0.04623163864016533,0.047553274780511856,0.053180962800979614,0.053955383598804474,0.052084773778915405,0.046205807477235794,158.9855124950409
90000,0.04768481105566025,0.020572648150846362,0.004768885672092438,0.03857078403234482,0.0437660813331604,0.04561341181397438,0.0450686551630497,0.05248456448316574,0.05285940319299698,0.05375339835882187,0.0493621863424778,158.40777015686035
95000,0.04884267970919609,0.020057677174918354,0.004734843969345093,0.038665998727083206,0.04341387748718262,0.045627716928720474,0.048357751220464706,0.05658787488937378,0.05428215116262436,0.05295062065124512,0.05085546523332596,159.12098121643066
100000,0.049038972705602646,0.021599308238364756,0.0066068172454833984,0.039520155638456345,0.04466114565730095,0.04551044479012489,0.04825751483440399,0.05490440875291824,0.055225882679224014,0.05403625965118408,0.05019595846533775,159.44722390174866
105000,0.05263376235961914,0.024582690559327602,0.006957069039344788,0.04192100837826729,0.047195397317409515,0.0496857650578022,0.05126425623893738,0.06133655458688736,0.060986924916505814,0.05731147527694702,0.051368728280067444,159.30953288078308
110000,0.04885055497288704,0.02361798915080726,0.003629140555858612,0.038843195885419846,0.04189474135637283,0.04593873396515846,0.04800424352288246,0.05634442716836929,0.05597474426031113,0.054082829505205154,0.04972150921821594,158.85686898231506
115000,0.0472915880382061,0.022432349855080247,0.004963710904121399,0.037268005311489105,0.040320757776498795,0.04364710673689842,0.046686649322509766,0.056229155510663986,0.052974700927734375,0.05197739973664284,0.04922894388437271,159.41284465789795
120000,0.05060034990310669,0.02377793355844915,0.005191110074520111,0.036912526935338974,0.04208306595683098,0.04724764823913574,0.052422549575567245,0.05959044396877289,0.05909736081957817,0.056152936071157455,0.05129624903202057,160.4391360282898
125000,0.049618110060691833,0.02503895026165992,0.00408405065536499,0.03629302605986595,0.04138319194316864,0.04616927355527878,0.05057989060878754,0.057721756398677826,0.05745172128081322,0.05556250736117363,0.051783487200737,159.2374050617218
130000,0.05262671411037445,0.0275001076515764,0.004691362380981445,0.039902910590171814,0.04496338590979576,0.0510566346347332,0.05328024551272392,0.06212104856967926,0.06049728021025658,0.05742080137133598,0.05177139863371849,158.556471824646
135000,0.05050504207611084,0.02667269390076399,0.004008747637271881,0.03719721734523773,0.043585460633039474,0.04760119318962097,0.050378866493701935,0.058783549815416336,0.05772425979375839,0.05705288052558899,0.05171692371368408,159.98453974723816
140000,0.05186731368303299,0.028795685386285186,0.004341967403888702,0.037463538348674774,0.04435865581035614,0.048653796315193176,0.054078247398138046,0.060486771166324615,0.05942726507782936,0.05792827159166336,0.052541982382535934,158.55449604988098
145000,0.052385102957487106,0.029141630046069622,0.004558101296424866,0.03699187561869621,0.044728830456733704,0.05001271143555641,0.05404317006468773,0.06154664605855942,0.06001065671443939,0.05794232711195946,0.05380461364984512,160.16629695892334
150000,0.052016161382198334,0.02778284694068134,0.004030250012874603,0.03735636919736862,0.044061679393053055,0.049270957708358765,0.05349127575755119,0.060559555888175964,0.06114865466952324,0.05772572010755539,0.05251505598425865,159.05988025665283
