step,action_mse,coverage,mmd,mse_h0,mse_h1,mse_h2,mse_h3,mse_h4,mse_h5,mse_h6,mse_h7,elapsed_sec
5000,0.09300505369901657,0.032427705358713865,0.03941219300031662,0.07808803021907806,0.08593787997961044,0.09113213419914246,0.09279123693704605,0.09489929676055908,0.09956572949886322,0.10035286843776703,0.10127321630716324,158.916668176651
10000,0.06772805750370026,0.022027547238394618,0.015466682612895966,0.05663381516933441,0.05897774547338486,0.06288934499025345,0.06692365556955338,0.06917179375886917,0.07348895817995071,0.07377932965755463,0.07995981723070145,161.57927918434143
15000,0.062484655529260635,0.021300363820046186,0.013903424143791199,0.051223769783973694,0.05496028810739517,0.05890226736664772,0.06284141540527344,0.06552226841449738,0.06858419626951218,0.06841385364532471,0.0694291815161705,161.26679182052612
20000,0.04899511858820915,0.018876427551731467,0.007872164249420166,0.04235178232192993,0.04454571381211281,0.046782486140728,0.04816663637757301,0.05210676044225693,0.05152825266122818,0.05318135768175125,0.0532979778945446,159.95592761039734
25000,0.0476788766682148,0.017480747657828033,0.004834502935409546,0.04012729600071907,0.042605672031641006,0.04566406086087227,0.04787253215909004,0.05110820382833481,0.05114997550845146,0.05181536823511124,0.05108792707324028,160.11559557914734
30000,0.04422760754823685,0.016170037095434964,0.004173539578914642,0.03641640394926071,0.03958095982670784,0.04182436689734459,0.04422491043806076,0.04816519096493721,0.04801422357559204,0.04800533503293991,0.04758947715163231,159.98064303398132
35000,0.05875300243496895,0.02584493428003043,0.012780643999576569,0.04601064324378967,0.05353884398937225,0.05895354598760605,0.0585244745016098,0.06521342694759369,0.06383367627859116,0.06452132761478424,0.05942807346582413,160.87686467170715
40000,0.04946153983473778,0.020595537964254618,0.004728168249130249,0.0420556403696537,0.04668566212058067,0.045465145260095596,0.046533387154340744,0.05534541234374046,0.056108567863702774,0.0540320910513401,0.049466390162706375,161.3992099761963
45000,0.04474706947803497,0.019280025153420866,0.004005908966064453,0.03696073591709137,0.041056904941797256,0.04281703010201454,0.04298751801252365,0.04666215926408768,0.04959636926651001,0.05138695612549782,0.04650891199707985,160.42273998260498
50000,0.04931417107582092,0.020833306363783777,0.006207264959812164,0.04098226875066757,0.046617258340120316,0.04705825448036194,0.04753365367650986,0.05430873483419418,0.05510379374027252,0.053929101675748825,0.048980291932821274,161.58199644088745
55000,0.049600664526224136,0.022424560273066163,0.004337936639785767,0.03813077509403229,0.04438983276486397,0.04708300158381462,0.05099746957421303,0.057170841842889786,0.05476926639676094,0.05415007472038269,0.050114065408706665,161.49341702461243
60000,0.05043990910053253,0.024021687684580684,0.0055657848715782166,0.040687091648578644,0.04662613570690155,0.047250811010599136,0.04882302135229111,0.055085670202970505,0.05697013810276985,0.055769119411706924,0.05230728164315224,159.5323748588562
65000,0.05125335603952408,0.023874233360402286,0.006206400692462921,0.0415731705725193,0.04602871462702751,0.05076933652162552,0.05058585852384567,0.05528701841831207,0.05556594580411911,0.05725545063614845,0.052961334586143494,159.94180870056152
70000,0.052112333476543427,0.026356024318374693,0.005580775439739227,0.03898391127586365,0.04465929791331291,0.048681922256946564,0.05345854535698891,0.05902939289808273,0.05876718461513519,0.058592766523361206,0.054725632071495056,160.08837389945984
