step,action_mse,mmd,mse_h0,mse_h1,mse_h2,mse_h3,mse_h4,mse_h5,mse_h6,mse_h7,elapsed_sec
55000,0.056054435670375824,0.007684648036956787,0.054606031626462936,0.05242200195789337,0.051915206015110016,0.048670776188373566,0.06442049890756607,0.06584058701992035,0.0606168657541275,0.049943532794713974,99.04250192642212
60000,0.050295390188694,0.004686415195465088,0.05260249972343445,0.05448996648192406,0.047334104776382446,0.04686368629336357,0.05255543440580368,0.052533168345689774,0.0486798919737339,0.04730437695980072,100.36484694480896
65000,0.04891543835401535,0.0038600564002990723,0.04949785768985748,0.05205381661653519,0.044644951820373535,0.0456332303583622,0.05349478870630264,0.052518729120492935,0.04956118017435074,0.043918974697589874,108.86483407020569
70000,0.048437900841236115,0.005366206169128418,0.0506172701716423,0.04744353145360947,0.04500638321042061,0.040658023208379745,0.05608755350112915,0.05363165959715843,0.04966583102941513,0.04439295828342438,104.61801505088806
75000,0.0528828389942646,0.0041069090366363525,0.0514131523668766,0.05077158659696579,0.046524450182914734,0.04322020709514618,0.05917683243751526,0.05478225648403168,0.05812517926096916,0.059049058705568314,104.64590287208557
80000,0.050260044634342194,0.003913611173629761,0.050957195460796356,0.05346982181072235,0.043871454894542694,0.04058174043893814,0.05664931237697601,0.054734982550144196,0.053014565259218216,0.048801273107528687,99.60751223564148
85000,0.052619144320487976,0.00660213828086853,0.05190421640872955,0.053788088262081146,0.045455217361450195,0.04427295923233032,0.05731470137834549,0.06017930060625076,0.061382994055747986,0.046655651181936264,101.75329995155334
90000,0.050986841320991516,0.0056528449058532715,0.05238822475075722,0.054459378123283386,0.047334007918834686,0.04491081088781357,0.05061420798301697,0.04794121906161308,0.05679093673825264,0.053455937653779984,109.01474785804749
95000,0.05182109400629997,0.004578322172164917,0.05779377371072769,0.053787603974342346,0.04531227797269821,0.04609273746609688,0.05609159171581268,0.051501620560884476,0.05232378840446472,0.051665350794792175,104.25541472434998
100000,0.05407935753464699,0.006060242652893066,0.05284427851438522,0.05057024955749512,0.04601048305630684,0.04442562535405159,0.060076385736465454,0.06093095988035202,0.06030826270580292,0.05746860057115555,110.01495909690857
105000,0.05525650456547737,0.006087750196456909,0.054831914603710175,0.05394112318754196,0.04748249799013138,0.045089200139045715,0.06018859148025513,0.06014678627252579,0.06050384044647217,0.05986807495355606,947.4734220504761
110000,0.05361311137676239,0.0028793811798095703,0.05636168271303177,0.056951381266117096,0.054799288511276245,0.05085432529449463,0.05950550734996796,0.05257493630051613,0.05086886137723923,0.04698890447616577,114.12717580795288
115000,0.05406085401773453,0.0042994022369384766,0.055264126509428024,0.051749881356954575,0.051246196031570435,0.04497654736042023,0.060818325728178024,0.06084175780415535,0.05730003863573074,0.05028995871543884,102.65010476112366
120000,0.053163498640060425,0.004875808954238892,0.046088527888059616,0.04896818846464157,0.04392091557383537,0.04613994061946869,0.06683231145143509,0.05943382531404495,0.05686989426612854,0.05705437436699867,103.07983088493347
125000,0.05328725278377533,0.003644317388534546,0.04800071567296982,0.05342615395784378,0.05325121432542801,0.046467337757349014,0.061914801597595215,0.05822215974330902,0.05823231488466263,0.046783335506916046,107.81044101715088
130000,0.056743063032627106,0.00370633602142334,0.0495891347527504,0.05895406752824783,0.04946737736463547,0.046873901039361954,0.0615733377635479,0.06887723505496979,0.0656406506896019,0.05296878516674042,102.87939596176147
135000,0.05771419405937195,0.0031428933143615723,0.04604203999042511,0.05234404653310776,0.051611438393592834,0.05487658828496933,0.0768674910068512,0.06805574148893356,0.061574071645736694,0.05034211277961731,99.77550315856934
140000,0.0566854365170002,0.003787994384765625,0.04946102201938629,0.053279563784599304,0.04713931307196617,0.04831152409315109,0.06897946447134018,0.06654507666826248,0.0649842768907547,0.05478326976299286,103.92458772659302
145000,0.055767811834812164,0.003969818353652954,0.05596323311328888,0.051809050142765045,0.05149465054273605,0.04769836366176605,0.063340924680233,0.0659480169415474,0.05920020863413811,0.050688039511442184,101.48638486862183
150000,0.06025782600045204,0.003789454698562622,0.05672859400510788,0.06127619743347168,0.05285881832242012,0.05206062272191048,0.07100827991962433,0.06994057446718216,0.061371445655822754,0.056818075478076935,101.26348328590393
