step,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
152000,364,500,0.728,0.6873666188831685,0.7651565550667395,123.38673520088196
154000,375,500,0.75,0.7102355648988187,0.7859521258357297,130.7471125125885
156000,321,500,0.642,0.5990414871027679,0.6827931212344555,131.50383019447327
158000,358,500,0.716,0.6749432769152115,0.7537628878794382,131.70230650901794
160000,363,500,0.726,0.6852936486809578,0.7632600237430738,127.04461717605591
162000,354,500,0.708,0.6666799846544007,0.7461481740367435,124.37420296669006
164000,355,500,0.71,0.6687444142064393,0.7480532460105812,127.12333583831787
166000,381,500,0.762,0.7227631109081946,0.7972415889816121,125.83686709403992
168000,338,500,0.676,0.6337707190597581,0.7155454152173639,131.62031531333923
170000,386,500,0.772,0.7332333810348978,0.8066188264842907,119.47137832641602
172000,360,500,0.72,0.6790805551718125,0.75756461267459,127.6026964187622
174000,365,500,0.73,0.6894405695613621,0.7670521059144222,124.15932726860046
176000,356,500,0.712,0.6708097689717583,0.7499573927711387,124.40016341209412
178000,397,500,0.794,0.7563727994796797,0.8271439248241491,117.18461179733276
180000,379,500,0.758,0.7185828923419191,0.7934828044961348,124.16940712928772
182000,363,500,0.726,0.6852936486809578,0.7632600237430738,126.60077738761902
184000,384,500,0.768,0.7290418422345863,0.8028713622328494,120.89285659790039
186000,382,500,0.764,0.7248548911970089,0.7991193102186741,122.07174682617188
188000,398,500,0.796,0.7584839354593685,0.8290022903703368,117.83742904663086
190000,389,500,0.778,0.7395294756647782,0.8122312364320395,119.3317563533783
192000,386,500,0.772,0.7332333810348978,0.8066188264842907,120.99908876419067
194000,391,500,0.782,0.7437328590676937,0.8159668560808768,118.54354619979858
196000,392,500,0.784,0.7458363816926995,0.8178328349817475,123.35537195205688
198000,381,500,0.762,0.7227631109081946,0.7972415889816121,120.81996035575867
200000,398,500,0.796,0.7584839354593685,0.8290022903703368,119.7320454120636
