trans_cm,rot_deg,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
0.0,0.0,35,500,0.07,0.05075944317125315,0.09579772876532376,198.80142045021057
2.0,2.0,6,500,0.012,0.0055109199671753584,0.025930707718986326,207.47272634506226
5.0,5.0,1,500,0.002,0.000353127309584542,0.011240992747195207,211.71763730049133
10.0,10.0,0,500,0.0,0.0,0.007624618530903363,219.7743992805481
0.0,0.0,0,500,0.0,0.0,0.007624618530903363,179.15085434913635
2.0,2.0,9,500,0.018,0.009498085051756854,0.03385204721203399,188.89206385612488
5.0,5.0,8,500,0.016,0.008129155320203278,0.03125147541771118,209.5440378189087
10.0,10.0,7,500,0.014,0.006797703071787358,0.02861342614025071,209.66970300674438
