trans_cm,rot_deg,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
0.0,0.0,296,500,0.592,0.5483787038455701,0.6342183663447436,1039.1501259803772
2.0,2.0,39,500,0.078,0.057581071819524224,0.10485410622055823,1327.003229856491
5.0,5.0,14,500,0.028,0.01675081930862122,0.04644682058455155,1342.8927381038666
10.0,10.0,5,500,0.01,0.004278690781520357,0.023193435378764938,1357.7742569446564
