trans_cm,rot_deg,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
0.0,0.0,351,500,0.702,0.6604921922645164,0.7404274618489985,999.6710970401764
2.0,2.0,63,500,0.126,0.09973485690292784,0.1579683577581879,1314.1487879753113
5.0,5.0,15,500,0.03,0.018263049234083534,0.04890409218496562,1348.4304537773132
10.0,10.0,11,500,0.022,0.01232788016714588,0.03896125514839773,1352.372576713562
