step,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
82000,320,500,0.64,0.5970058131108227,0.6808592937005244,135.8332908153534
83000,300,500,0.6,0.5564533144716549,0.6420217618221643,134.31655168533325
84000,273,500,0.546,0.5021734817218153,0.5891250533733416,146.63149690628052
85000,286,500,0.572,0.5282430423113503,0.6146590126201995,145.5793011188507
86000,268,500,0.536,0.4921784303653343,0.5792725971004405,142.22109031677246
87000,217,500,0.434,0.39122280165473233,0.47778364799134687,153.69872164726257
88000,306,500,0.612,0.5685873695673256,0.6537047158817519,135.28305459022522
89000,264,500,0.528,0.4841949689615891,0.5713780524006803,144.92314386367798
90000,307,500,0.614,0.57061231973477,0.655649267240184,137.99151062965393
91000,270,500,0.54,0.4961743505261478,0.5832156799913801,151.20054411888123
92000,282,500,0.564,0.5202088800086124,0.6068151688194319,145.57903480529785
93000,308,500,0.616,0.572638020455507,0.6575930680453232,152.82681369781494
94000,342,500,0.684,0.641977078070737,0.7232170623098906,149.4573094844818
95000,306,500,0.612,0.5685873695673256,0.6537047158817519,149.31278944015503
96000,367,500,0.734,0.6935914395923122,0.7708402389352251,143.79079341888428
97000,283,500,0.566,0.522216352008653,0.6087771983452676,146.3947560787201
98000,280,500,0.56,0.5161960663856535,0.6028889793906382,154.14057660102844
99000,250,500,0.5,0.45634046916507415,0.5436595308349258,148.55047249794006
100000,317,500,0.634,0.5909034766847505,0.6750531255489673,137.6314413547516
101000,345,500,0.69,0.6481408712280013,0.7289617737302553,139.39694595336914
102000,252,500,0.504,0.4603113571655595,0.5476276458861933,149.56966638565063
103000,337,500,0.674,0.6317212496204101,0.7136253831308357,135.36018323898315
104000,272,500,0.544,0.5001730702665284,0.5871559633027523,141.91632223129272
105000,352,500,0.704,0.6625538790779746,0.7423352765614168,135.44004583358765
106000,404,500,0.808,0.7711789076945584,0.8401243272904052,133.83688616752625
107000,255,500,0.51,0.4662728891685752,0.5535746184608068,146.3584303855896
108000,342,500,0.684,0.641977078070737,0.7232170623098906,130.47566938400269
109000,349,500,0.698,0.6563715243917267,0.7366091266700354,128.88354516029358
110000,372,500,0.744,0.7039862648123214,0.7802929213445977,128.11249947547913
111000,371,500,0.742,0.7019052530371696,0.7784044315938733,130.9848337173462
112000,369,500,0.738,0.6977463146741062,0.7746243669051839,133.3539309501648
113000,334,500,0.668,0.6255778658042676,0.707860262369349,132.84774732589722
114000,380,500,0.76,0.7206724477826185,0.7953627505813117,130.48813724517822
115000,333,500,0.666,0.6235317332195806,0.7059368934281597,137.39353322982788
116000,353,500,0.706,0.6646164747606613,0.7442421824046064,129.4972996711731
117000,389,500,0.778,0.7395294756647782,0.8122312364320395,125.7869029045105
118000,375,500,0.75,0.7102355648988187,0.7859521258357297,134.87032771110535
119000,370,500,0.74,0.6998252722118725,0.7765149108932938,129.3484444618225
120000,399,500,0.798,0.7605963875890438,0.8308593397665378,124.06179857254028
121000,376,500,0.752,0.7123207803781036,0.787836411882321,127.84092092514038
122000,391,500,0.782,0.7437328590676937,0.8159668560808768,124.46844244003296
123000,373,500,0.746,0.7060683153605514,0.7821803723222442,128.02983403205872
124000,399,500,0.798,0.7605963875890438,0.8308593397665378,125.83407735824585
125000,363,500,0.726,0.6852936486809578,0.7632600237430738,132.07542777061462
126000,384,500,0.768,0.7290418422345863,0.8028713622328494,129.6386535167694
127000,389,500,0.778,0.7395294756647782,0.8122312364320395,128.83068561553955
128000,393,500,0.786,0.7479411410548613,0.819697577145462,123.18610334396362
129000,363,500,0.726,0.6852936486809578,0.7632600237430738,130.94957494735718
130000,391,500,0.782,0.7437328590676937,0.8159668560808768,125.59754681587219
131000,387,500,0.774,0.7353308968855181,0.8084908121595469,124.63500690460205
132000,404,500,0.808,0.7711789076945584,0.8401243272904052,127.12811040878296
133000,392,500,0.784,0.7458363816926995,0.8178328349817475,123.78820300102234
134000,363,500,0.726,0.6852936486809578,0.7632600237430738,131.8302218914032
135000,375,500,0.75,0.7102355648988187,0.7859521258357297,128.38577556610107
136000,395,500,0.79,0.7521544200999409,0.8234233011521351,125.91432118415833
137000,385,500,0.77,0.7311370330150648,0.8047456729782474,125.33795619010925
138000,382,500,0.764,0.7248548911970089,0.7991193102186741,125.80743885040283
139000,397,500,0.794,0.7563727994796797,0.8271439248241491,125.3950924873352
140000,400,500,0.8,0.7627101702740526,0.8327150586074055,122.41486811637878
141000,401,500,0.802,0.7648252982841597,0.8345694321231747,125.99811697006226
142000,393,500,0.786,0.7479411410548613,0.819697577145462,128.65479636192322
143000,384,500,0.768,0.7290418422345863,0.8028713622328494,127.47143959999084
144000,385,500,0.77,0.7311370330150648,0.8047456729782474,127.06513261795044
145000,399,500,0.798,0.7605963875890438,0.8308593397665378,127.89563584327698
146000,395,500,0.79,0.7521544200999409,0.8234233011521351,125.49351143836975
147000,395,500,0.79,0.7521544200999409,0.8234233011521351,122.13614392280579
148000,394,500,0.788,0.7500471496065019,0.8215610701196979,125.88648700714111
149000,406,500,0.812,0.7754216622802987,0.8438205757564177,122.89032483100891
150000,389,500,0.778,0.7395294756647782,0.8122312364320395,124.97682404518127
