step,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
15000,31,100,0.31,0.22779563206132378,0.40626239477955695,1695.9104647636414
14000,43,100,0.43,0.3373313900052838,0.5278478830413564,1298.1165192127228
12000,39,100,0.39,0.300167219319702,0.48797163832501844,1332.5603172779083
10000,29,100,0.29,0.21014706973984146,0.38539074940007934,1412.593663930893
8000,26,100,0.26,0.18404578126986462,0.35371172631861636,1417.4569590091705
6000,18,100,0.18,0.11700131654251038,0.26667536024213084,1501.672127008438
4000,35,100,0.35,0.2636410465347802,0.4474573957080203,1270.0722789764404
2000,17,100,0.17,0.10893476059773155,0.25548181233642975,1478.344456911087
