trans_cm,rot_deg,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
0.0,0.0,33,100,0.33,0.24562983793895452,0.4269483966028862,1349.2573068141937
2.0,2.0,25,100,0.25,0.1754509400372426,0.3430464637007583,1459.2179429531097
5.0,5.0,19,100,0.19,0.1251465399270426,0.27779024070807856,1529.8001809120178
10.0,10.0,19,100,0.19,0.1251465399270426,0.27779024070807856,1553.784823179245
15.0,15.0,16,100,0.16,0.10095202349473717,0.24420444558894414,1570.285630941391
20.0,20.0,3,100,0.03,0.010254338223414816,0.08452078080402699,1771.3489849567413
