step_abs,step_continue,n_success,n,success_rate,ci95_low,ci95_high,t_success_median,elapsed_sec
31000,1000,179,500,0.358,0.3172068787655445,0.400958512897232,111.0,5363.409838676453
32000,2000,292,500,0.584,0.5403157691552084,0.6264032949315997,103.0,3826.467089176178
