step,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
152000,358,500,0.716,0.6749432769152115,0.7537628878794382,130.55860352516174
160000,336,500,0.672,0.6296726201980068,0.7117045110273624,133.2636423110962
168000,318,500,0.636,0.5929368106752564,0.676989293084338,131.1639368534088
176000,348,500,0.696,0.6543125331560312,0.7346986163798547,130.3049499988556
184000,359,500,0.718,0.6770114417638189,0.7556642245567071,124.2741060256958
192000,334,500,0.668,0.6255778658042676,0.707860262369349,129.84420895576477
200000,377,500,0.754,0.7144070676180768,0.7897196261682243,126.62324690818787
