trans_cm,rot_deg,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
0.0,0.0,43,50,0.86,0.738135428014719,0.9304925473797714,298.4443368911743
2.0,2.0,34,50,0.68,0.5418944286372394,0.792419559060006,361.9890058040619
5.0,5.0,13,50,0.26,0.15871379651367384,0.3955342198899992,520.2971558570862
10.0,10.0,10,50,0.2,0.11243629945973886,0.3303737210448524,537.9852530956268
15.0,15.0,9,50,0.18,0.0977008273245379,0.3079631945470261,539.2796883583069
20.0,20.0,5,50,0.1,0.04347512399157111,0.2136049033478839,572.0556359291077
