step,mode,m,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
24000,baseline,,22,30,0.7333333333333333,0.5555169795568831,0.8581750444608938,267.07956981658936
24000,ensemble,0.01,26,30,0.8666666666666667,0.7031831605558306,0.9469043057578189,999.9999618530273
30000,baseline,,23,30,0.7666666666666667,0.5907132766967574,0.8820776078949878,293.26354026794434
30000,ensemble,0.01,27,30,0.9,0.7437855868473339,0.9654007400402839,984.1489899158478
40000,baseline,,29,30,0.9666666666666667,0.8332924860304112,0.9940915620051425,204.25812292099
40000,ensemble,0.01,29,30,0.9666666666666667,0.8332924860304112,0.9940915620051425,850.5071108341217
