trans_cm,rot_deg,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
0.0,0.0,44,50,0.88,0.7619492111337642,0.9438247628937535,269.2194128036499
1.0,1.0,45,50,0.9,0.7863950966521162,0.956524876008429,271.51677107810974
2.0,2.0,38,50,0.76,0.6258705062480763,0.8570274759812779,333.91820883750916
3.0,3.0,34,50,0.68,0.5418944286372394,0.792419559060006,384.57809710502625
5.0,5.0,21,50,0.42,0.2937479723456693,0.5576680331222217,469.1206810474396
8.0,8.0,13,50,0.26,0.15871379651367384,0.3955342198899992,544.4603090286255
10.0,10.0,8,50,0.16,0.08337321362087696,0.2851448096176598,556.280081987381
