source_k,success_rate,ci95_low,ci95_high,n
2,0.0,0.0,0.03699480747600191,100
4,0.0,0.0,0.03699480747600191,100
8,0.0,0.0,0.03699480747600191,100
12,0.3,0.21894753866228117,0.39585038432811953,100
16,0.57,0.4721521169586435,0.6626686099947162,100
20,0.52,0.4231640509017654,0.6153561567991945,100
24,0.72,0.6251178763865427,0.7986044083240164,100
28,0.84,0.7557955544110557,0.8990479765052628,100
30,0.69,0.5937376052204429,0.7722043679386762,100
