step,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
10000,3,500,0.006,0.002042559297638913,0.017490563810893606,176.19528675079346
20000,12,500,0.024,0.013781177149521824,0.04147745969189818,174.1047773361206
30000,13,500,0.026,0.0152562373229252,0.04397190104437119,173.86264204978943
40000,14,500,0.028,0.01675081930862122,0.04644682058455155,174.21576476097107
50000,17,500,0.034,0.02133433944461342,0.053771805026188516,173.952951669693
60000,12,500,0.024,0.013781177149521824,0.04147745969189818,174.90041851997375
70000,15,500,0.03,0.018263049234083534,0.04890409218496562,173.26555156707764
