step,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
10000,2,500,0.004,0.0010976075412372681,0.014466014041418871,188.51084852218628
20000,0,500,0.0,0.0,0.007624618530903363,207.32593417167664
30000,3,500,0.006,0.002042559297638913,0.017490563810893606,206.28662514686584
40000,0,500,0.0,0.0,0.007624618530903363,206.11539578437805
50000,2,500,0.004,0.0010976075412372681,0.014466014041418871,205.45195960998535
60000,3,500,0.006,0.002042559297638913,0.017490563810893606,205.59029054641724
70000,2,500,0.004,0.0010976075412372681,0.014466014041418871,205.7712218761444
