step,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
208000,317,500,0.634,0.5909034766847505,0.6750531255489673,135.91715931892395
216000,325,500,0.65,0.6071920689703412,0.6905205454703878,132.61238765716553
224000,354,500,0.708,0.6666799846544007,0.7461481740367435,128.3186981678009
232000,360,500,0.72,0.6790805551718125,0.75756461267459,129.0463945865631
240000,368,500,0.736,0.6956683729184137,0.7727328071349999,123.53522872924805
248000,350,500,0.7,0.6584314090816449,0.7385187435059938,131.30051040649414
