step,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
10000,162,500,0.324,0.2844545847826361,0.3662292809402419,2114.9362444877625
10100,201,500,0.402,0.35992798652483676,0.4455664387072203,2039.2244732379913
10400,140,500,0.28,0.24243538732541,0.32091944482818746,2246.5481872558594
10500,243,500,0.486,0.4424642011735621,0.5297492881453032,1875.5023522377014
10600,255,500,0.51,0.4662728891685752,0.5535746184608068,1834.892982006073
10200,276,500,0.552,0.5081789316318008,0.5950281080409854,1746.9184024333954
10300,243,500,0.486,0.4424642011735621,0.5297492881453032,1863.0119767189026
