seed,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
1,153,500,0.306,0.26721278242267577,0.3477455695673147,5065.008062839508
2,134,500,0.268,0.23105333049086763,0.30848449250747156,6538.85514497757
