step,n_success,n,success_rate,ci95_low,ci95_high,t_success_median,elapsed_sec
6200,5,50,0.1,0.04347512399157111,0.2136049033478839,128.0,563.878123998642
6400,19,50,0.38,0.2586259584257722,0.5184980497760643,119.0,483.51398181915283
6600,12,50,0.24,0.14297252401872207,0.3741294937519236,113.0,531.8629648685455
6800,19,50,0.38,0.2586259584257722,0.5184980497760643,113.0,474.4217801094055
7000,1,50,0.02,0.0035391680889764604,0.10495686471836953,135.0,611.8641242980957
7200,17,50,0.34,0.2243676963506106,0.47846431458517147,117.0,493.96137499809265
7400,10,50,0.2,0.11243629945973886,0.3303737210448524,112.0,543.6089251041412
7600,17,50,0.34,0.2243676963506106,0.47846431458517147,110.0,488.1849579811096
7800,18,50,0.36,0.24138562967182875,0.49859237989698046,139.5,502.7721390724182
8000,11,50,0.22,0.12753786224302288,0.35241815689459555,119.0,528.0857090950012
8200,18,50,0.36,0.24138562967182875,0.49859237989698046,102.5,474.3493218421936
8400,9,50,0.18,0.0977008273245379,0.3079631945470261,121.0,552.2729241847992
8600,22,50,0.44,0.3116198721023534,0.5769421319985648,109.5,450.4620292186737
8800,0,50,0.0,0.0,0.07135003417431873,,616.9477617740631
9000,27,50,0.54,0.40398634328388083,0.6703056539821737,110.0,411.74939370155334
9200,30,50,0.6,0.4618118910275937,0.7239181021375425,121.0,401.6530907154083
9400,17,50,0.34,0.2243676963506106,0.47846431458517147,118.0,489.86197686195374
9600,16,50,0.32,0.20758044093999403,0.45810557136276076,109.5,487.76624393463135
9800,28,50,0.56,0.4230578680014353,0.6883801278976466,116.5,401.1752669811249
10000,15,50,0.3,0.1910338908960936,0.4375061227736339,121.0,496.27659726142883
10200,30,50,0.6,0.4618118910275937,0.7239181021375425,111.0,377.64046692848206
10400,13,50,0.26,0.15871379651367384,0.3955342198899992,114.0,503.42933678627014
10600,26,50,0.52,0.3851151225880844,0.6520308760449429,109.0,404.62294697761536
10800,26,50,0.52,0.3851151225880844,0.6520308760449429,111.5,408.3462133407593
11000,34,50,0.68,0.5418944286372394,0.792419559060006,116.5,357.3896059989929
11200,18,50,0.36,0.24138562967182875,0.49859237989698046,111.5,464.8806130886078
11400,15,50,0.3,0.1910338908960936,0.4375061227736339,122.0,493.26657700538635
11600,17,50,0.34,0.2243676963506106,0.47846431458517147,109.0,478.5483298301697
11800,31,50,0.62,0.4815019502239357,0.7413740415742278,116.0,378.6396429538727
12000,15,50,0.3,0.1910338908960936,0.4375061227736339,118.0,487.7737920284271
12200,30,50,0.6,0.4618118910275937,0.7239181021375425,114.5,377.45966482162476
12400,16,50,0.32,0.20758044093999403,0.45810557136276076,114.5,482.3386187553406
12600,26,50,0.52,0.3851151225880844,0.6520308760449429,125.0,443.4018249511719
12800,39,50,0.78,0.6475818431054045,0.8724621377569771,116.0,311.36774587631226
13000,20,50,0.4,0.2760818978624575,0.5381881089724063,104.5,442.603807926178
13200,31,50,0.62,0.4815019502239357,0.7413740415742278,111.0,369.79758977890015
13400,35,50,0.7,0.562493877226366,0.8089661091039063,121.0,349.0894250869751
13600,36,50,0.72,0.5833461285401034,0.8252598564231963,114.0,334.01132798194885
13800,33,50,0.66,0.5215356854148285,0.7756323036493895,112.0,355.5846929550171
14000,34,50,0.68,0.5418944286372394,0.792419559060006,105.0,335.14978194236755
14200,32,50,0.64,0.5014076201030195,0.7586143703281711,114.5,371.22616600990295
14400,30,50,0.6,0.4618118910275937,0.7239181021375425,105.5,369.2888128757477
14600,40,50,0.8,0.6696262789551477,0.8875637005402612,107.0,311.0994749069214
14800,38,50,0.76,0.6258705062480763,0.8570274759812779,119.0,326.92195892333984
15000,40,50,0.8,0.6696262789551477,0.8875637005402612,117.5,312.20186710357666
15200,33,50,0.66,0.5215356854148285,0.7756323036493895,113.0,356.8750638961792
15400,32,50,0.64,0.5014076201030195,0.7586143703281711,130.0,389.55783200263977
15600,34,50,0.68,0.5418944286372394,0.792419559060006,112.5,350.10608291625977
15800,33,50,0.66,0.5215356854148285,0.7756323036493895,105.0,344.2570071220398
16000,45,50,0.9,0.7863950966521162,0.956524876008429,106.0,255.63865780830383
16200,29,50,0.58,0.4423319668777783,0.7062520276543307,111.0,387.39331674575806
16400,35,50,0.7,0.562493877226366,0.8089661091039063,108.0,329.08103704452515
16600,33,50,0.66,0.5215356854148285,0.7756323036493895,114.0,362.17290902137756
16800,38,50,0.76,0.6258705062480763,0.8570274759812779,105.0,313.3281989097595
17000,41,50,0.82,0.6920368054529739,0.902299172675462,105.0,286.83280396461487
17200,29,50,0.58,0.4423319668777783,0.7062520276543307,123.0,393.45091366767883
17400,40,50,0.8,0.6696262789551477,0.8875637005402612,107.5,304.7745201587677
17600,40,50,0.8,0.6696262789551477,0.8875637005402612,108.0,299.29164814949036
17800,43,50,0.86,0.738135428014719,0.9304925473797714,106.0,276.8635971546173
18000,40,50,0.8,0.6696262789551477,0.8875637005402612,107.0,293.5723657608032
18200,38,50,0.76,0.6258705062480763,0.8570274759812779,106.5,311.59746623039246
18400,38,50,0.76,0.6258705062480763,0.8570274759812779,103.5,307.9107611179352
18600,40,50,0.8,0.6696262789551477,0.8875637005402612,103.0,291.02174496650696
18800,46,50,0.92,0.8116149745493629,0.9684509967442093,110.5,255.7482237815857
19000,43,50,0.86,0.738135428014719,0.9304925473797714,105.0,271.9599459171295
19200,38,50,0.76,0.6258705062480763,0.8570274759812779,108.0,308.90686106681824
19400,42,50,0.84,0.7148551903823401,0.9166267863791231,106.0,280.53582096099854
19600,42,50,0.84,0.7148551903823401,0.9166267863791231,103.0,273.825758934021
19800,40,50,0.8,0.6696262789551477,0.8875637005402612,106.0,293.1121768951416
20000,46,50,0.92,0.8116149745493629,0.9684509967442093,109.0,256.64990615844727
20200,36,50,0.72,0.5833461285401034,0.8252598564231963,111.0,13997.859186172485
20400,42,50,0.84,0.7148551903823401,0.9166267863791231,110.5,11299.997319936752
20600,41,50,0.82,0.6920368054529739,0.902299172675462,106.0,310.64168214797974
20800,43,50,0.86,0.738135428014719,0.9304925473797714,102.0,276.31071305274963
21000,44,50,0.88,0.7619492111337642,0.9438247628937535,102.0,269.4272119998932
21200,39,50,0.78,0.6475818431054045,0.8724621377569771,105.0,307.7349920272827
21400,46,50,0.92,0.8116149745493629,0.9684509967442093,107.0,260.1293342113495
21600,44,50,0.88,0.7619492111337642,0.9438247628937535,112.0,285.7735731601715
21800,40,50,0.8,0.6696262789551477,0.8875637005402612,101.0,295.0317921638489
22000,43,50,0.86,0.738135428014719,0.9304925473797714,106.0,283.23477005958557
22200,47,50,0.94,0.8378265662912299,0.9793854036353695,104.0,254.64877605438232
