step,success_rate,ci95_low,ci95_high
10000,0.324,0.2844545847826361,0.3662292809402419
10100,0.402,0.35992798652483676,0.4455664387072203
10200,0.552,0.5081789316318008,0.5950281080409854
10300,0.486,0.4424642011735621,0.5297492881453032
10400,0.28,0.24243538732541,0.32091944482818746
10500,0.486,0.4424642011735621,0.5297492881453032
10600,0.51,0.4662728891685752,0.5535746184608068
10700,0.24,0.20463724941868824,0.2793275522173815
10800,0.546,0.5021734817218153,0.5891250533733416
10900,0.518,0.4742313107295171,0.5614942030033705
11000,0.566,0.522216352008653,0.6087771983452676
