step,n_success,n,success_rate,ci95_low,ci95_high,t_success_median,elapsed_sec
1000,1,500,0.002,0.000353127309584542,0.011240992747195207,179.0,3143.5085871219635
2000,0,500,0.0,0.0,0.007624618530903363,,3263.593756914139
3000,10,500,0.02,0.010899065235569357,0.03642056855409787,122.5,3239.4938385486603
4000,0,500,0.0,0.0,0.007624618530903363,,3253.1791019439697
5000,13,500,0.026,0.0152562373229252,0.04397190104437119,125.0,3263.0138034820557
6000,57,500,0.114,0.08903649378821105,0.14484971171764635,123.0,3098.537325143814
7000,8,500,0.016,0.008129155320203278,0.03125147541771118,117.5,3281.34122300148
8000,87,500,0.174,0.14328895399220098,0.20968229728994797,112.0,2962.9860746860504
9000,225,500,0.45,0.4069388734465702,0.4938235884065202,109.0,2377.7945630550385
10000,152,500,0.304,0.2653013836201453,0.3456874668439688,116.0,2698.04176402092
11000,276,500,0.552,0.5081789316318008,0.5950281080409854,116.0,2198.5587723255157
12000,210,500,0.42,0.3775085874060515,0.46371135155889304,115.0,2458.5764162540436
13000,210,500,0.42,0.3775085874060515,0.46371135155889304,104.5,2411.8910439014435
14000,321,500,0.642,0.5990414871027679,0.6827931212344555,104.0,1950.3196165561676
15000,401,500,0.802,0.7648252982841597,0.8345694321231747,116.0,1715.763763666153
16000,379,500,0.758,0.7185828923419191,0.7934828044961348,106.0,1718.6040723323822
17000,415,500,0.83,0.7945876062593026,0.8603801455103012,105.0,1550.7146692276
18000,417,500,0.834,0.7988639930270354,0.8640427617943212,106.0,1545.8618335723877
19000,404,500,0.808,0.7711789076945584,0.8401243272904052,107.0,1611.5072555541992
20000,453,500,0.906,0.8772348563464386,0.928573953406468,112.0,1467.0962355136871
21000,448,500,0.896,0.8661551236448682,0.9198061784786563,105.0,1441.3408606052399
22000,420,500,0.84,0.8052911368285649,0.8695241225704207,108.0,1554.35968708992
23000,449,500,0.898,0.8683647750455783,0.9215660286038228,107.0,1466.2039759159088
24000,442,500,0.884,0.8529575380244137,0.9091867549438526,106.0,1462.2907729148865
25000,447,500,0.894,0.8639484611321094,0.9180433394655388,110.0,1484.3116738796234
26000,458,500,0.916,0.8884001169044927,0.9372562004777957,105.0,1379.5255184173584
27000,462,500,0.924,0.8974030342199025,0.9441312892658914,105.0,1372.6796884536743
28000,468,500,0.936,0.9110470662066095,0.954304266434443,106.0,1363.566861629486
29000,467,500,0.934,0.9087600691405885,0.9526217619745875,107.0,1363.37304854393
30000,464,500,0.928,0.9019310525910869,0.9475422739464601,106.0,1379.9834685325623
