step,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
1000,21,50,0.42,0.2937479723456693,0.5576680331222217,1339.7224788665771
2000,23,50,0.46,0.3296943460178263,0.5960136567161192,1019.7860760688782
3000,33,50,0.66,0.5215356854148285,0.7756323036493895,682.1207621097565
4000,25,50,0.5,0.36644286412332855,0.6335571358766714,678.4973261356354
5000,46,50,0.92,0.8116149745493629,0.9684509967442093,628.5786249637604
