step,n_success,n,success_rate,ci95_low,ci95_high,elapsed_sec
10000,5,500,0.01,0.004278690781520357,0.023193435378764938,177.446706533432
20000,7,500,0.014,0.006797703071787358,0.02861342614025071,181.54128003120422
30000,13,500,0.026,0.0152562373229252,0.04397190104437119,200.18626856803894
40000,10,500,0.02,0.010899065235569357,0.03642056855409787,205.22014093399048
50000,10,500,0.02,0.010899065235569357,0.03642056855409787,204.87567400932312
60000,13,500,0.026,0.0152562373229252,0.04397190104437119,204.14818692207336
70000,8,500,0.016,0.008129155320203278,0.03125147541771118,204.6151683330536
