  ep 52/100 : ✓ t_succ= 52 max_z=0.847 hold=1.00 | running=100%
  ep 53/100 : ✓ t_succ= 54 max_z=0.840 hold=1.00 | running=100%
  ep 54/100 : ✓ t_succ= 48 max_z=0.840 hold=1.00 | running=100%
  ep 55/100 : ✓ t_succ= 55 max_z=0.840 hold=1.00 | running=100%
  ep 56/100 : ✓ t_succ= 67 max_z=0.839 hold=1.00 | running=100%
  ep 57/100 : ✓ t_succ= 45 max_z=0.846 hold=1.00 | running=100%
  ep 58/100 : ✓ t_succ= 52 max_z=0.843 hold=1.00 | running=100%
  ep 59/100 : ✓ t_succ= 45 max_z=0.841 hold=1.00 | running=100%
  ep 60/100 : ✓ t_succ= 37 max_z=0.837 hold=1.00 | running=100%
  ep 61/100 : ✓ t_succ= 51 max_z=0.842 hold=1.00 | running=100%
  ep 62/100 : ✓ t_succ= 52 max_z=0.837 hold=1.00 | running=100%
  ep 63/100 : ✓ t_succ= 45 max_z=0.843 hold=1.00 | running=100%
  ep 64/100 : ✓ t_succ= 52 max_z=0.841 hold=1.00 | running=100%
  ep 65/100 : ✓ t_succ= 54 max_z=0.837 hold=1.00 | running=100%
  ep 66/100 : ✓ t_succ= 47 max_z=0.839 hold=1.00 | running=100%
  ep 67/100 : ✓ t_succ= 45 max_z=0.840 hold=1.00 | running=100%
  ep 68/100 : ✓ t_succ= 53 max_z=0.841 hold=1.00 | running=100%
  ep 69/100 : ✓ t_succ= 54 max_z=0.838 hold=1.00 | running=100%
  ep 70/100 : ✓ t_succ= 43 max_z=0.839 hold=1.00 | running=100%
  ep 71/100 : ✓ t_succ= 42 max_z=0.840 hold=1.00 | running=100%
  ep 72/100 : ✓ t_succ= 52 max_z=0.840 hold=1.00 | running=100%
  ep 73/100 : ✓ t_succ= 47 max_z=0.835 hold=1.00 | running=100%
  ep 74/100 : ✓ t_succ= 49 max_z=0.839 hold=1.00 | running=100%
  ep 75/100 : ✓ t_succ= 38 max_z=0.837 hold=1.00 | running=100%
  ep 76/100 : ✓ t_succ= 48 max_z=0.843 hold=1.00 | running=100%
  ep 77/100 : ✓ t_succ= 43 max_z=0.841 hold=1.00 | running=100%
  ep 78/100 : ✓ t_succ= 46 max_z=0.841 hold=1.00 | running=100%
  ep 79/100 : ✓ t_succ= 44 max_z=0.841 hold=1.00 | running=100%
  ep 80/100 : ✓ t_succ= 77 max_z=0.846 hold=1.00 | running=100%
